date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:03	89/89	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20Jul%202022%2003:12:14%20GMT	https://techgehlotravi.blogspot.com/robots.txt		(from )
17:31:07	385530/385530	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2003:12:14%20GMT	https://techgehlotravi.blogspot.com/	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/techgehlotravi.blogspot.com/index.html	(from )
17:31:08	35960/35960	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Jul%202022%2006:54:15%20GMT	https://www.blogger.com/static/v1/widgets/2975350028-css_bundle_v2.css	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/www.blogger.com/static/v1/widgets/2975350028-css_bundle_v2.css	(from https://techgehlotravi.blogspot.com/)
17:31:08	96381/96381	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://techgehlotravi.blogspot.com/)
17:31:11	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://techgehlotravi.blogspot.com/)
17:31:11	7354/7354	---M-Z	200	added ('OK')	text/css	etag:%220b704046d76bb4d3929be4f7f20472f5%22	http://cdn.linearicons.com/free/1.0.0/icon-font.min.css	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/cdn.linearicons.com/free/1.0.0/icon-font.min.css	(from https://techgehlotravi.blogspot.com/)
17:31:13	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2013%20Jul%202022%2003:12:14%20GMT	https://techgehlotravi.blogspot.com/favicon.ico	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/techgehlotravi.blogspot.com/favicon.ico	(from https://techgehlotravi.blogspot.com/)
17:31:15	174773/174773	---M-Z	200	added ('OK')	application/atom+xml	date:Wed,%2013%20Jul%202022%2003:12:14%20GMT	https://techgehlotravi.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/techgehlotravi.blogspot.com/feeds/posts/default	(from https://techgehlotravi.blogspot.com/)
17:31:17	152108/152108	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2013%20Jul%202022%2003:12:14%20GMT	https://techgehlotravi.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/techgehlotravi.blogspot.com/feeds/posts/default9522	(from https://techgehlotravi.blogspot.com/)
17:31:24	86796/86796	---M--	200	added ('OK')	image/jpeg	etag:%22v10e%22	https://1.bp.blogspot.com/-ZZkPzlWIBN8/XnLyfSUMySI/AAAAAAAAAQ0/13s-6Bymt6oJt562fClKx9rii0C2CjLAwCLcBGAsYHQ/s1600/jFT4UK.jpg	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/1.bp.blogspot.com/-ZZkPzlWIBN8/XnLyfSUMySI/AAAAAAAAAQ0/13s-6Bymt6oJt562fClKx9rii0C2CjLAwCLcBGAsYHQ/s1600/jFT4UK.jpg	(from https://techgehlotravi.blogspot.com/)
17:31:25	109238/109238	---M--	200	added ('OK')	image/jpeg	etag:%22veed%22	http://4.bp.blogspot.com/-Tev2WNGyFs8/WaUuh31ZVRI/AAAAAAAADuY/5D9_uZ3rgrY9cVKC46DXxPMlXlxCOmB4gCK4BGAYYCw/s1600/sg-back.jpg	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/4.bp.blogspot.com/-Tev2WNGyFs8/WaUuh31ZVRI/AAAAAAAADuY/5D9_uZ3rgrY9cVKC46DXxPMlXlxCOmB4gCK4BGAYYCw/s1600/sg-back.jpg	(from https://techgehlotravi.blogspot.com/)
17:31:25	103/103	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2003:06:10%20GMT	https://www.blogger.com/img/widgets/draggable.png	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/www.blogger.com/img/widgets/draggable.png	(from https://techgehlotravi.blogspot.com/)
17:31:25	3362/3362	---M--	200	added ('OK')	image/png	etag:%22vb88%22	http://3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/s1600-r/nth.png	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/s1600-r/nth.png	(from https://techgehlotravi.blogspot.com/)
17:31:26	1/1	---MC-	200	added ('OK')	text/css	date:Thu,%2014%20Jul%202022%2012:01:26%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=4608714195079540106&zx=a16dcf2e-3c08-4bdf-beb9-2a18157b18b9	C:/My%20Web%20Sites/https___techgehlotravi.blogspot.com_/www.blogger.com/dyn-css/authorization91f7.css	(from https://techgehlotravi.blogspot.com/)
